Date,Product_ID,Region,Units_Sold,Unit_Price,Revenue,Promotion_Spend,Fuel_Cost_Index,Customer_Sentiment,Is_Holiday_Season
2023-01-28,Product_A,North,593,24.25,14380.25,3399.82,108.56,52.15,0
2023-01-28,Product_A,South,595,23.41,13928.95,4131.79,108.56,52.15,0
2023-01-28,Product_A,East,555,24.01,13325.55,3304.74,108.56,52.15,0
2023-01-28,Product_A,West,474,23.57,11172.18,3604.3,108.56,52.15,0
2023-01-28,Product_B,North,478,28.15,13455.7,2835.51,108.56,52.15,0
2023-01-28,Product_B,South,514,27.17,13965.38,2586.8,108.56,52.15,0
2023-01-28,Product_B,East,521,27.42,14285.82,3978.6,108.56,52.15,0
2023-01-28,Product_B,West,503,27.73,13948.19,2191.81,108.56,52.15,0
2023-01-28,Product_C,North,717,19.12,13709.04,3838.94,108.56,52.15,0
2023-01-28,Product_C,South,682,19.26,13135.32,3723.39,108.56,52.15,0
2023-01-28,Product_C,East,645,19.06,12293.7,1142.05,108.56,52.15,0
2023-01-28,Product_C,West,647,19.14,12383.58,2953.8,108.56,52.15,0
2023-01-28,Product_D,North,449,34.05,15288.45,4262.63,108.56,52.15,0
2023-01-28,Product_D,South,380,34.56,13132.8,2598.02,108.56,52.15,0
2023-01-28,Product_D,East,411,34.53,14191.83,4074.57,108.56,52.15,0
2023-01-28,Product_D,West,405,34.72,14061.6,3814.9,108.56,52.15,0
2023-01-28,Product_E,North,330,43.1,14223.0,3077.03,108.56,52.15,0
2023-01-28,Product_E,South,348,42.28,14713.44,3949.39,108.56,52.15,0
2023-01-28,Product_E,East,343,41.7,14303.1,4191.63,108.56,52.15,0
2023-01-28,Product_E,West,362,42.35,15330.7,4779.66,108.56,52.15,0
2023-01-28,Product_F,North,774,16.26,12585.24,2219.34,108.56,52.15,0
2023-01-28,Product_F,South,668,15.55,10387.4,3021.13,108.56,52.15,0
2023-01-28,Product_F,East,723,16.43,11878.89,3215.97,108.56,52.15,0
2023-01-28,Product_F,West,744,15.82,11770.08,4151.27,108.56,52.15,0
2023-01-28,Product_G,North,656,21.95,14399.2,2994.38,108.56,52.15,0
2023-01-28,Product_G,South,552,21.67,11961.84,2751.58,108.56,52.15,0
2023-01-28,Product_G,East,638,22.53,14374.14,2848.88,108.56,52.15,0
2023-01-28,Product_G,West,549,21.63,11874.87,3235.71,108.56,52.15,0
2023-01-28,Product_H,North,266,46.7,12422.2,4574.14,108.56,52.15,0
2023-01-28,Product_H,South,251,48.37,12140.87,3483.38,108.56,52.15,0
2023-01-28,Product_H,East,270,47.66,12868.2,3746.32,108.56,52.15,0
2023-01-28,Product_H,West,283,48.08,13606.64,2590.15,108.56,52.15,0
2023-01-28,Product_I,North,753,14.19,10685.07,5257.79,108.56,52.15,0
2023-01-28,Product_I,South,799,14.03,11209.97,3177.01,108.56,52.15,0
2023-01-28,Product_I,East,772,13.95,10769.4,3364.07,108.56,52.15,0
2023-01-28,Product_I,West,755,14.38,10856.9,4780.99,108.56,52.15,0
2023-01-28,Product_J,North,474,30.4,14409.6,4000.27,108.56,52.15,0
2023-01-28,Product_J,South,484,31.69,15337.96,3005.07,108.56,52.15,0
2023-01-28,Product_J,East,495,30.35,15023.25,3114.98,108.56,52.15,0
2023-01-28,Product_J,West,466,31.07,14478.62,4725.61,108.56,52.15,0
2023-01-28,Product_K,North,493,26.72,13172.96,3697.95,108.56,52.15,0
2023-01-28,Product_K,South,464,27.7,12852.8,2411.34,108.56,52.15,0
2023-01-28,Product_K,East,558,26.28,14664.24,4729.12,108.56,52.15,0
2023-01-28,Product_K,West,529,27.72,14663.88,2327.06,108.56,52.15,0
2023-01-28,Product_L,North,598,21.33,12755.34,4391.56,108.56,52.15,0
2023-01-28,Product_L,South,658,20.53,13508.74,4032.22,108.56,52.15,0
2023-01-28,Product_L,East,624,21.47,13397.28,2376.64,108.56,52.15,0
2023-01-28,Product_L,West,586,20.64,12095.04,3675.88,108.56,52.15,0
2023-02-28,Product_A,North,683,24.22,16542.26,3735.03,107.09,51.38,0
2023-02-28,Product_A,South,595,24.03,14297.85,4241.56,107.09,51.38,0
2023-02-28,Product_A,East,627,24.13,15129.51,3965.29,107.09,51.38,0
2023-02-28,Product_A,West,544,23.6,12838.4,3942.49,107.09,51.38,0
2023-02-28,Product_B,North,540,28.68,15487.2,4646.67,107.09,51.38,0
2023-02-28,Product_B,South,582,27.28,15876.96,4048.35,107.09,51.38,0
2023-02-28,Product_B,East,549,27.38,15031.62,3600.77,107.09,51.38,0
2023-02-28,Product_B,West,574,28.12,16140.88,4834.49,107.09,51.38,0
2023-02-28,Product_C,North,748,18.65,13950.2,1946.09,107.09,51.38,0
2023-02-28,Product_C,South,644,18.92,12184.48,3769.48,107.09,51.38,0
2023-02-28,Product_C,East,775,19.2,14880.0,2604.51,107.09,51.38,0
2023-02-28,Product_C,West,740,18.54,13719.6,3966.4,107.09,51.38,0
2023-02-28,Product_D,North,491,34.47,16924.77,2829.25,107.09,51.38,0
2023-02-28,Product_D,South,422,34.89,14723.58,3970.65,107.09,51.38,0
2023-02-28,Product_D,East,453,35.89,16258.17,2858.6,107.09,51.38,0
2023-02-28,Product_D,West,425,35.76,15198.0,3842.8,107.09,51.38,0
2023-02-28,Product_E,North,417,42.85,17868.45,3224.38,107.09,51.38,0
2023-02-28,Product_E,South,399,43.07,17184.93,3409.82,107.09,51.38,0
2023-02-28,Product_E,East,397,41.28,16388.16,3815.46,107.09,51.38,0
2023-02-28,Product_E,West,341,40.89,13943.49,3058.24,107.09,51.38,0
2023-02-28,Product_F,North,744,16.27,12104.88,1605.47,107.09,51.38,0
2023-02-28,Product_F,South,796,15.93,12680.28,5302.22,107.09,51.38,0
2023-02-28,Product_F,East,895,16.21,14507.95,6348.45,107.09,51.38,0
2023-02-28,Product_F,West,684,15.8,10807.2,2717.24,107.09,51.38,0
2023-02-28,Product_G,North,686,22.33,15318.38,4661.33,107.09,51.38,0
2023-02-28,Product_G,South,581,22.11,12845.91,3268.69,107.09,51.38,0
2023-02-28,Product_G,East,624,22.61,14108.64,1738.76,107.09,51.38,0
2023-02-28,Product_G,West,562,21.59,12133.58,3468.45,107.09,51.38,0
2023-02-28,Product_H,North,287,46.91,13463.17,2383.81,107.09,51.38,0
2023-02-28,Product_H,South,316,47.27,14937.32,2741.08,107.09,51.38,0
2023-02-28,Product_H,East,310,48.24,14954.4,2463.25,107.09,51.38,0
2023-02-28,Product_H,West,283,49.25,13937.75,2800.0,107.09,51.38,0
2023-02-28,Product_I,North,841,13.91,11698.31,3904.89,107.09,51.38,0
2023-02-28,Product_I,South,897,13.83,12405.51,4869.81,107.09,51.38,0
2023-02-28,Product_I,East,827,13.96,11544.92,2893.05,107.09,51.38,0
2023-02-28,Product_I,West,915,14.42,13194.3,4874.6,107.09,51.38,0
2023-02-28,Product_J,North,493,31.81,15682.33,4058.31,107.09,51.38,0
2023-02-28,Product_J,South,532,31.71,16869.72,3776.83,107.09,51.38,0
2023-02-28,Product_J,East,563,31.38,17666.94,3140.14,107.09,51.38,0
2023-02-28,Product_J,West,485,31.91,15476.35,3885.5,107.09,51.38,0
2023-02-28,Product_K,North,632,26.67,16855.44,3436.0,107.09,51.38,0
2023-02-28,Product_K,South,589,27.71,16321.19,3407.12,107.09,51.38,0
2023-02-28,Product_K,East,573,27.09,15522.57,3796.27,107.09,51.38,0
2023-02-28,Product_K,West,526,27.17,14291.42,3833.05,107.09,51.38,0
2023-02-28,Product_L,North,719,20.7,14883.3,3377.27,107.09,51.38,0
2023-02-28,Product_L,South,665,21.51,14304.15,2905.25,107.09,51.38,0
2023-02-28,Product_L,East,721,20.72,14939.12,3724.9,107.09,51.38,0
2023-02-28,Product_L,West,579,21.34,12355.86,3173.96,107.09,51.38,0
2023-03-28,Product_A,North,646,23.29,15045.34,3437.22,104.55,44.91,0
2023-03-28,Product_A,South,564,24.55,13846.2,2361.71,104.55,44.91,0
2023-03-28,Product_A,East,740,24.12,17848.8,4430.63,104.55,44.91,0
2023-03-28,Product_A,West,555,23.46,13020.3,2858.35,104.55,44.91,0
2023-03-28,Product_B,North,620,28.61,17738.2,2810.23,104.55,44.91,0
2023-03-28,Product_B,South,636,27.51,17496.36,5299.44,104.55,44.91,0
2023-03-28,Product_B,East,651,28.65,18651.15,3501.24,104.55,44.91,0
2023-03-28,Product_B,West,540,28.2,15228.0,3919.19,104.55,44.91,0
2023-03-28,Product_C,North,844,19.54,16491.76,4671.08,104.55,44.91,0
2023-03-28,Product_C,South,810,19.43,15738.3,5212.84,104.55,44.91,0
2023-03-28,Product_C,East,794,19.49,15475.06,4952.24,104.55,44.91,0
2023-03-28,Product_C,West,755,19.42,14662.1,3728.01,104.55,44.91,0
2023-03-28,Product_D,North,523,34.18,17876.14,3764.12,104.55,44.91,0
2023-03-28,Product_D,South,502,35.75,17946.5,2841.97,104.55,44.91,0
2023-03-28,Product_D,East,510,34.59,17640.9,3785.66,104.55,44.91,0
2023-03-28,Product_D,West,495,34.43,17042.85,5132.77,104.55,44.91,0
2023-03-28,Product_E,North,394,42.92,16910.48,4083.1,104.55,44.91,0
2023-03-28,Product_E,South,425,41.44,17612.0,3587.35,104.55,44.91,0
2023-03-28,Product_E,East,455,42.09,19150.95,2926.99,104.55,44.91,0
2023-03-28,Product_E,West,399,41.03,16370.97,2794.07,104.55,44.91,0
2023-03-28,Product_F,North,947,15.77,14934.19,4054.77,104.55,44.91,0
2023-03-28,Product_F,South,758,15.94,12082.52,3395.62,104.55,44.91,0
2023-03-28,Product_F,East,909,16.01,14553.09,3395.05,104.55,44.91,0
2023-03-28,Product_F,West,761,16.07,12229.27,2726.2,104.55,44.91,0
2023-03-28,Product_G,North,636,22.56,14348.16,3458.06,104.55,44.91,0
2023-03-28,Product_G,South,702,22.29,15647.58,4913.09,104.55,44.91,0
2023-03-28,Product_G,East,713,21.43,15279.59,3432.19,104.55,44.91,0
2023-03-28,Product_G,West,656,21.78,14287.68,2160.4,104.55,44.91,0
2023-03-28,Product_H,North,338,47.42,16027.96,2817.12,104.55,44.91,0
2023-03-28,Product_H,South,312,47.74,14894.88,5108.02,104.55,44.91,0
2023-03-28,Product_H,East,312,47.77,14904.24,2883.78,104.55,44.91,0
2023-03-28,Product_H,West,332,48.51,16105.32,3933.66,104.55,44.91,0
2023-03-28,Product_I,North,913,14.04,12818.52,4519.46,104.55,44.91,0
2023-03-28,Product_I,South,797,13.82,11014.54,2786.43,104.55,44.91,0
2023-03-28,Product_I,East,980,13.97,13690.6,2427.73,104.55,44.91,0
2023-03-28,Product_I,West,858,13.76,11806.08,4005.49,104.55,44.91,0
2023-03-28,Product_J,North,554,30.39,16836.06,1591.07,104.55,44.91,0
2023-03-28,Product_J,South,481,31.03,14925.43,3824.69,104.55,44.91,0
2023-03-28,Product_J,East,594,31.47,18693.18,2954.34,104.55,44.91,0
2023-03-28,Product_J,West,511,30.49,15580.39,2896.99,104.55,44.91,0
2023-03-28,Product_K,North,599,26.96,16149.04,3562.89,104.55,44.91,0
2023-03-28,Product_K,South,651,26.31,17127.81,3690.01,104.55,44.91,0
2023-03-28,Product_K,East,603,27.32,16473.96,2410.23,104.55,44.91,0
2023-03-28,Product_K,West,588,26.59,15634.92,4149.66,104.55,44.91,0
2023-03-28,Product_L,North,781,21.34,16666.54,3447.18,104.55,44.91,0
2023-03-28,Product_L,South,658,20.91,13758.78,3421.15,104.55,44.91,0
2023-03-28,Product_L,East,791,20.43,16160.13,4517.43,104.55,44.91,0
2023-03-28,Product_L,West,676,21.44,14493.44,5524.62,104.55,44.91,0
2023-04-28,Product_A,North,666,24.65,16416.9,2176.25,99.83,46.81,0
2023-04-28,Product_A,South,664,24.16,16042.24,1176.59,99.83,46.81,0
2023-04-28,Product_A,East,739,24.07,17787.73,3295.29,99.83,46.81,0
2023-04-28,Product_A,West,653,24.35,15900.55,2452.84,99.83,46.81,0
2023-04-28,Product_B,North,567,28.23,16006.41,2811.66,99.83,46.81,0
2023-04-28,Product_B,South,614,28.04,17216.56,3610.47,99.83,46.81,0
2023-04-28,Product_B,East,570,27.64,15754.8,2995.7,99.83,46.81,0
2023-04-28,Product_B,West,527,27.7,14597.9,2984.49,99.83,46.81,0
2023-04-28,Product_C,North,737,19.22,14165.14,3024.35,99.83,46.81,0
2023-04-28,Product_C,South,784,18.5,14504.0,3377.39,99.83,46.81,0
2023-04-28,Product_C,East,789,18.67,14730.63,2558.75,99.83,46.81,0
2023-04-28,Product_C,West,721,19.46,14030.66,4117.45,99.83,46.81,0
2023-04-28,Product_D,North,526,35.56,18704.56,2301.26,99.83,46.81,0
2023-04-28,Product_D,South,465,33.96,15791.4,2800.39,99.83,46.81,0
2023-04-28,Product_D,East,549,35.95,19736.55,2601.3,99.83,46.81,0
2023-04-28,Product_D,West,466,35.52,16552.32,4708.64,99.83,46.81,0
2023-04-28,Product_E,North,381,41.29,15731.49,2327.28,99.83,46.81,0
2023-04-28,Product_E,South,388,40.81,15834.28,3150.23,99.83,46.81,0
2023-04-28,Product_E,East,415,41.16,17081.4,2800.94,99.83,46.81,0
2023-04-28,Product_E,West,386,41.06,15849.16,4663.13,99.83,46.81,0
2023-04-28,Product_F,North,855,16.06,13731.3,3348.65,99.83,46.81,0
2023-04-28,Product_F,South,760,16.14,12266.4,3353.78,99.83,46.81,0
2023-04-28,Product_F,East,838,15.88,13307.44,4159.1,99.83,46.81,0
2023-04-28,Product_F,West,771,15.83,12204.93,4254.26,99.83,46.81,0
2023-04-28,Product_G,North,758,22.44,17009.52,3561.95,99.83,46.81,0
2023-04-28,Product_G,South,648,21.45,13899.6,2623.47,99.83,46.81,0
2023-04-28,Product_G,East,842,21.8,18355.6,4612.38,99.83,46.81,0
2023-04-28,Product_G,West,686,22.37,15345.82,3636.15,99.83,46.81,0
2023-04-28,Product_H,North,359,47.13,16919.67,2627.24,99.83,46.81,0
2023-04-28,Product_H,South,284,47.0,13348.0,2270.47,99.83,46.81,0
2023-04-28,Product_H,East,359,47.19,16941.21,4439.64,99.83,46.81,0
2023-04-28,Product_H,West,327,48.77,15947.79,4454.17,99.83,46.81,0
2023-04-28,Product_I,North,1012,13.68,13844.16,4107.7,99.83,46.81,0
2023-04-28,Product_I,South,994,14.39,14303.66,4569.92,99.83,46.81,0
2023-04-28,Product_I,East,956,14.15,13527.4,3659.73,99.83,46.81,0
2023-04-28,Product_I,West,961,13.91,13367.51,3628.96,99.83,46.81,0
2023-04-28,Product_J,North,574,31.24,17931.76,3421.97,99.83,46.81,0
2023-04-28,Product_J,South,487,31.51,15345.37,3150.78,99.83,46.81,0
2023-04-28,Product_J,East,539,31.9,17194.1,4218.35,99.83,46.81,0
2023-04-28,Product_J,West,529,30.72,16250.88,2515.1,99.83,46.81,0
2023-04-28,Product_K,North,635,26.74,16979.9,2720.21,99.83,46.81,0
2023-04-28,Product_K,South,667,27.52,18355.84,3876.69,99.83,46.81,0
2023-04-28,Product_K,East,711,27.53,19573.83,5305.16,99.83,46.81,0
2023-04-28,Product_K,West,634,26.9,17054.6,4910.04,99.83,46.81,0
2023-04-28,Product_L,North,722,21.39,15443.58,3262.65,99.83,46.81,0
2023-04-28,Product_L,South,704,20.98,14769.92,1176.93,99.83,46.81,0
2023-04-28,Product_L,East,734,21.44,15736.96,2159.35,99.83,46.81,0
2023-04-28,Product_L,West,755,20.48,15462.4,4074.41,99.83,46.81,0
2023-05-28,Product_A,North,626,23.32,14598.32,2294.62,97.53,44.8,0
2023-05-28,Product_A,South,678,23.54,15960.12,3771.75,97.53,44.8,0
2023-05-28,Product_A,East,665,24.55,16325.75,3879.42,97.53,44.8,0
2023-05-28,Product_A,West,647,23.68,15320.96,5063.93,97.53,44.8,0
